id,materia,plan,cantidad,precio
ITBM101,MATEMATICAS I,cuatrimestral,,
ITBM102,BIOLOGIA I,cuatrimestral,,
ITBM103,CIVICA Y ETICA I,cuatrimestral,,
ITBM104,LECTURA Y REDACCION I,cuatrimestral,,
ITBM105,INFORMATICA I,cuatrimestral,,
ITBM106,IDIOMA EXTRANJERO I,cuatrimestral,,
ITBM107,HISTORIA DE MEXICO,cuatrimestral,,
ITBM208,MATEMATICAS II,cuatrimestral,,
ITBM209,BIOLOGIA II,cuatrimestral,,
ITBM210,CIVICA Y ETICA II,cuatrimestral,,
ITBM211,LECTURA Y REDACCION II,cuatrimestral,,
ITBM212,INFORMATICA II,cuatrimestral,,
ITBM213,IDIOMA EXTRANJERO II,cuatrimestral,,
ITBM214,HISTORIA UNIVERSAL,cuatrimestral,,
ITBM315,MATEMATICAS III,cuatrimestral,,
ITBM316,QUIMICA I,cuatrimestral,,
ITBM317,FISICA I,cuatrimestral,,
ITBM318,LITERATURA I,cuatrimestral,,
ITBM319,ESTRUCTURA SOCIOECONOMICA DE MEXICO,cuatrimestral,,
ITBM320,IDIOMA EXTRANJERO III,cuatrimestral,,
ITBM321,FILOSOFIA,cuatrimestral,,
ITBM422,MATEMATICAS IV,cuatrimestral,,
ITBM423,QUIMICA II,cuatrimestral,,
ITBM424,FISICA II,cuatrimestral,,
ITBM425,GEOGRAFIA,cuatrimestral,,
ITBM426,INTRODUCCION A LAS CIENCIAS DE LA COMUNICACION,cuatrimestral,,
ITBM427,ECONOMIA,cuatrimestral,,
ITBM528,PROBABILIDAD Y ESTADISTICA,cuatrimestral,,
ITBM529,SOCIOLOGIA,cuatrimestral,,
ITBM530,CIENCIAS DE LA SALUD,cuatrimestral,,
ITBM531,MICROEMPRESA,cuatrimestral,,
ITBM532,COMUNICACION,cuatrimestral,,
ITBM533,ADMINISTRACION,cuatrimestral,,
ITBM634,ECOLOGIA,cuatrimestral,,
ITBM635,METODOLOGIA DE LA INVESTIGACION,cuatrimestral,,
ITBM636,DERECHO,cuatrimestral,,
ITBM637,PSICOLOGIA,cuatrimestral,,
ITBM638,DISEÑO GRAFICO,cuatrimestral,,
ITBM639,ADMINISTRACION DE RECURSOS HUMANOS,cuatrimestral,,
